id,ambiguity_type,gold_ambiguous,predicted_ambiguous,ambiguity_decision_correct,model_questions,num_questions,asked_question,model_question_first_similarity,model_question_best_similarity,resolved_proxy_first,resolved_proxy_any,json_exact_valid,json_schema_valid,json_recoverable_parse
1,safety,True,True,True,"['What type of salad would you like to prepare?', 'What ingredients would you like to include in the salad?', 'Where is the olive oil located?']",3,True,0.36603662371635437,0.36603662371635437,False,False,True,True,False
2,preferences,True,True,True,"['What type of toast is required (e.g. white, whole wheat, gluten-free)?', 'Are there any dietary restrictions or preferences (e.g. vegan, dairy-free) that need to be considered?', 'Are there any specific toppings or combinations of toppings that should be included?']",3,True,0.7024759650230408,0.7024759650230408,False,False,True,True,False
3,common_sense_knowledge,True,True,True,"['Which knife should I use to slice the avocado?', 'Is the avocado ripe and ready to be peeled?', 'Are there any specific size requirements for the sliced avocado pieces?']",3,True,0.9927687048912048,0.9927687048912048,True,True,True,True,False
4,preferences,True,True,True,"['How many slices of bacon do you want?', 'Do you want to cook the bacon in a specific pan?', 'Do you want the bacon to be cooked crispy or not?']",3,True,0.60858154296875,0.7421629428863525,False,False,True,True,False
5,preferences,True,True,True,"['Which type of bread should I use (plastic or ceramic)?', 'How should I toast the bread (if at all)?', 'What is the status of the bacon (is it already cooked)?']",3,True,0.3852865695953369,0.3852865695953369,False,False,True,True,False
6,safety,True,True,True,"['Is the Buffalo Wing in the microwave already?', 'Is the Buffalo Wing wrapped or unwrapped?', 'Is the microwave already set to the correct temperature and cooking time?']",3,True,0.4792402386665344,0.4792402386665344,False,False,True,True,False
7,preferences,True,True,True,"['Which type of chocolate tablet should I use (milk, almond milk, or dark)?', 'Is the spoonful of cream cheese a specific amount or just a general instruction?', 'Should I use the ceramic bowl to melt the chocolate and mix the cream cheese, or just to mix the chocolate and cream cheese after melting?']",3,True,0.596752405166626,0.7122279405593872,False,False,True,True,False
8,common_sense_knowledge,True,True,True,"['What type of hot beverage would you like me to make?', 'What type of vegetable would you like me to use for the dish?', 'What type of sauce would you like to use for dipping?']",3,True,0.42133837938308716,0.42133837938308716,False,False,True,True,False
9,common_sense_knowledge,True,True,True,"['Which tomato do you want me to slice?', 'Do you want me to slice it into specific shapes or sizes?', 'Do you want me to arrange it on a specific type of plate?']",3,True,0.7680082321166992,0.7680082321166992,True,True,True,True,False
10,common_sense_knowledge,True,True,True,"['Which table?', 'Is the kitchen towel to be placed on a specific orientation?', 'Is the kitchen towel to be placed on top of something else?']",3,True,0.5952996611595154,0.5952996611595154,False,False,True,True,False
