feature_idx,C_score,C_mean_pos,C_mean_neg,C_entropy,Q_score,Q_mean_pos,Q_mean_neg,Q_entropy,output_output_score,output_prob,output_rank,output_steering_scale,output_top_token_ids,output_top_tokens,output_prompt
76227,0.0061288666911423,0.9541667103767396,0.0014182209270074,0.2238938063383102,0.0002817302884068,0.5239863395690918,0.0011885152198374,0.2353364527225494,0.8472145899936014,0.8472211956977844,1.0,38.4375,"[499, 584, 81096, 358, 577, 1289, 42983, 94707, 15334, 1431]","[' you', ' we', 'iglia', ' I', ' u', 'opy', ' perch', 'otch', ' YOU', '’t']","In my experience,"
80249,0.0006688875728286,0.1906250119209289,0.0002444672281853,0.1223342716693878,8.476967923343182e-05,0.0967574417591095,0.0002021579275606,0.3824054598808288,0.1751378881679978,0.1751406192779541,2.0,24.375,"[4423, 18570, 5606, 94192, 33634, 21739, 116252, 35272, 104, 41795]","[' someone', ' somebody', ' anyone', ' Somebody', ' Anyone', ' anybody', ' Kaynak', ' Someone', '�', 'Anyone']","In my experience,"
1862,0.0069915917702019,1.0572917461395264,0.0009490365046076,0.2304645180702209,0.0006879714201204,0.6675982475280762,0.0006547279190272,0.4488249719142914,0.027087512704046,0.0270887799561023,6.0,36.0,"[5606, 4423, 21739, 25136, 33634, 51426, 89419, 84729, 41795, 18570]","[' anyone', ' someone', ' anybody', '679', ' Anyone', '/how', ' alguien', 'locs', 'Anyone', ' somebody']","In my experience,"
91965,0.0002707991225179,0.0917968824505806,0.1884341835975647,0.2118140310049057,-0.0001666954631218,0.0926750898361206,0.1884769201278686,0.5657069683074951,0.0122855549177152,0.0122856507077813,1.0,243.0,"[5741, 123681, 31258, 674, 76831, 114228, 52751, 220, 114394, 106038]","['lier', 'оба', 'outil', ' #', 'inand', 'ーデ', '@student', ' ', 'κολ', ' âm']","In my experience,"
115618,0.0020355640444904,0.3109375238418579,0.001810195040889,0.2284193933010101,-2.7637981929728994e-06,0.0,0.0018134828424081,-0.0,0.0112607373062536,0.0112611763179302,5.0,19.96875,"[387, 3596, 1027, 62731, 47173, 18374, 4276, 102115, 20609, 539]","[' be', ' ever', ' been', ' быть', ' være', ' Ever', ' NOT', ' باشد', 'norm', ' not']","In my experience,"
111894,0.0021904986351728,0.5196614861488342,0.4514501690864563,0.1930176615715026,0.0004782393225468,0.614813506603241,0.4513768553733825,0.8249040842056274,0.00887687009151,0.0088769393041729,1.0,834.0,"[7051, 19929, 90578, 13851, 1981, 58204, 38241, 27083, 93638, 5636]","['irit', '369', '…\n', '::_', '…', '::.', ' aka', ' alike', ' Curso', ' plus']","In my experience,"
98395,0.0105642350390553,1.672395944595337,0.0643233582377433,0.2221488207578659,0.0004564743721857,0.7223909497261047,0.0640373453497886,0.3335676789283752,0.0080908861230286,0.0080913277342915,7.0,81.75,"[1431, 956, 63441, 76641, 387, 6458, 1601, 32613, 34259, 6723]","['’t', ""'t"", 'berra', 'opies', ' be', '/w', 'ister', 'alic', 'tered', 'va']","In my experience,"
68970,0.0230048652738332,3.840104341506958,1.2794560194015503,0.2264377772808075,0.0052678077481687,3.157294988632202,1.2786242961883545,0.994035303592682,0.003873244927699,0.0038732751272618,1.0,196.5,"[73921, 62102, 43556, 22471, 77436, 42086, 54908, 88136, 29233, 71667]","[')frame', ')application', 'UpInside', '/***/', '#af', '>tag', ')did', '...\n\n\n\n\n\n', '-wsj', 'MMdd']","In my experience,"
82758,0.0001455920573789,0.065885417163372,0.0844566151499748,0.1450805366039276,6.340828258544207e-05,0.1315020322799682,0.0844350457191467,0.635278046131134,0.0032898556597109,0.0032902148086577,14.0,210.0,"[41077, 86449, 91136, 17996, 115348, 75960, 44062, 46249, 122443, 34304]","['alars', 'odie', 'peon', 'ento', 'podob', 'templ', 'afil', '&apos', '.Α', 'iferay']","In my experience,"
118990,0.000654489675071,0.246223971247673,0.0027864549774676,0.0932211950421333,0.0001663562143221,0.1119959354400634,0.0027388031594455,0.6622034907341003,0.0014657336549193,0.00146637391299,56.0,21.9375,"[2082, 47200, 31643, 27452, 13890, 1889, 94332, 92160, 1010, 734]","[' code', '代码', '️', '例', ' equivalent', 'code', 'inne', 'Equivalent', 'ception', ' function']","In my experience,"
