token_id,token,display_token,readable_for_plot,prob_before,prob_after,delta,rank_after
5606, anyone,anyone,True,0.0007233148207888007,0.02421228028833866,0.02348896546754986,9
4423, someone,someone,True,0.000156427820911631,0.033094264566898346,0.032937836745986715,6
21739, anybody,anybody,True,8.225853889598511e-06,0.00020303232304286212,0.0001948064691532636,392
25136,679,679,True,3.054451136463854e-09,1.891339707071893e-08,1.5858945934255075e-08,65335
33634, Anyone,Anyone,True,1.7259171727346256e-06,0.00013108752318657935,0.00012936160601384472,620
51426,/how,/how,True,7.172575777758539e-08,5.326744485500967e-06,5.255018727723382e-06,8901
89419, alguien,alguien,True,6.074501346375882e-09,6.22666505023517e-07,6.165920036771411e-07,23059
84729,locs,locs,True,5.035938777098181e-09,9.909911113936687e-08,9.406317236226869e-08,36151
41795,Anyone,Anyone,True,2.328594383982363e-08,1.1610244428084115e-06,1.137738498968588e-06,18712
18570, somebody,somebody,True,2.400883658992825e-06,0.00013524868700187653,0.0001328478033428837,602
