feature_idx,output_score,prob,rank,steering_scale,top_token_ids,top_tokens,prompt
76227,0.8472145899936014,0.8472211956977844,1,38.4375,"[499, 584, 81096, 358, 577, 1289, 42983, 94707, 15334, 1431]","[' you', ' we', 'iglia', ' I', ' u', 'opy', ' perch', 'otch', ' YOU', '’t']","In my experience,"
80249,0.1751378881679978,0.1751406192779541,2,24.375,"[4423, 18570, 5606, 94192, 33634, 21739, 116252, 35272, 104, 41795]","[' someone', ' somebody', ' anyone', ' Somebody', ' Anyone', ' anybody', ' Kaynak', ' Someone', '�', 'Anyone']","In my experience,"
1862,0.02708751270404604,0.02708877995610237,6,36.0,"[5606, 4423, 21739, 25136, 33634, 51426, 89419, 84729, 41795, 18570]","[' anyone', ' someone', ' anybody', '679', ' Anyone', '/how', ' alguien', 'locs', 'Anyone', ' somebody']","In my experience,"
91965,0.012285554917715293,0.012285650707781315,1,243.0,"[5741, 123681, 31258, 674, 76831, 114228, 52751, 220, 114394, 106038]","['lier', 'оба', 'outil', ' #', 'inand', 'ーデ', '@student', ' ', 'κολ', ' âm']","In my experience,"
115618,0.011260737306253656,0.011261176317930222,5,19.96875,"[387, 3596, 1027, 62731, 47173, 18374, 4276, 102115, 20609, 539]","[' be', ' ever', ' been', ' быть', ' være', ' Ever', ' NOT', ' باشد', 'norm', ' not']","In my experience,"
111894,0.008876870091510005,0.008876939304172993,1,834.0,"[7051, 19929, 90578, 13851, 1981, 58204, 38241, 27083, 93638, 5636]","['irit', '369', '…\n', '::_', '…', '::.', ' aka', ' alike', ' Curso', ' plus']","In my experience,"
98395,0.00809088612302861,0.008091327734291553,7,81.75,"[1431, 956, 63441, 76641, 387, 6458, 1601, 32613, 34259, 6723]","['’t', ""'t"", 'berra', 'opies', ' be', '/w', 'ister', 'alic', 'tered', 'va']","In my experience,"
68970,0.0038732449276990713,0.003873275127261877,1,196.5,"[73921, 62102, 43556, 22471, 77436, 42086, 54908, 88136, 29233, 71667]","[')frame', ')application', 'UpInside', '/***/', '#af', '>tag', ')did', '...\n\n\n\n\n\n', '-wsj', 'MMdd']","In my experience,"
82758,0.003289855659710962,0.0032902148086577654,14,210.0,"[41077, 86449, 91136, 17996, 115348, 75960, 44062, 46249, 122443, 34304]","['alars', 'odie', 'peon', 'ento', 'podob', 'templ', 'afil', '&apos', '.Α', 'iferay']","In my experience,"
118990,0.0014657336549193016,0.0014663739129900932,56,21.9375,"[2082, 47200, 31643, 27452, 13890, 1889, 94332, 92160, 1010, 734]","[' code', '代码', '️', '例', ' equivalent', 'code', 'inne', 'Equivalent', 'ception', ' function']","In my experience,"
161,0.0006649430532010166,0.0006653684540651739,82,26.625,"[4587, 6089, 91182, 118235, 10125, 1054, 13336, 5042, 32992, 54233]","[' please', ' directly', ' imposs', ' вообще', '139', ' “', ' possibility', ' simply', ' feas', ' PLEASE']","In my experience,"
19061,0.0005954931623663779,0.0005958973779343069,87,19.875,"[6847, 47091, 126063, 100603, 32992, 30194, 38367, 21676, 126004, 126571]","[' easily', ' Easily', '์ได', 'ได', ' feas', ' anytime', 'asily', ' safely', 'ันได', ' snadno']","In my experience,"
79996,0.00010704408396054669,0.00010733028466347605,342,31.6875,"[6261, 60005, 58996, 114355, 22479, 701, 7752, 110310, 85590, 89183]","[' yourself', ' Yourself', ' yourselves', ' можете', 'your', ' your', ' guys', '你的', 'nge', ' hebt']","In my experience,"
