id,ambiguity_type,gold_ambiguous,predicted_ambiguous,ambiguity_decision_correct,model_questions,num_questions,asked_question,model_question_first_similarity,model_question_best_similarity,resolved_proxy_first,resolved_proxy_any,json_exact_valid,json_schema_valid,json_recoverable_parse
1,safety,True,True,True,"['What type of knife should I use to prepare the salad?', 'What is the correct order of ingredients in the salad?', 'What is the purpose of the olive oil and salt and pepper in the salad recipe?']",3,True,0.389687716960907,0.389687716960907,False,False,True,True,False
2,preferences,True,True,True,"['What type of bread is needed for the task?', 'What type of milk is required?', 'Is the toaster available?']",3,True,0.5555945634841919,0.5555945634841919,False,False,False,True,True
3,common_sense_knowledge,True,True,True,"['What type of vegetable is the avocado?', 'Is the avocado ripe?', 'Is the avocado a fruit?', 'Is the avocado a vegetable?', 'Is the avocado a root vegetable?']",5,True,0.6054575443267822,0.6054575443267822,False,False,True,True,False
4,preferences,True,True,True,"['What type of bacon should I use?', 'Is the bacon raw or cooked?', 'Is the bacon sliced or diced?']",3,True,0.8605983853340149,0.8605983853340149,True,True,True,True,False
5,preferences,True,True,True,"['What type of bread should be used for the sandwich?', 'Is the bacon cooked?', 'Is the lettuce fresh?']",3,True,0.5490002632141113,0.5490002632141113,False,False,True,True,False
6,safety,True,True,True,"['Is the microwave safe for heating food?', 'Is the buffalo wing a type of food?', 'Is the microwave a suitable cooking appliance for buffalo wings?']",3,True,0.7123937606811523,0.7123937606811523,False,False,True,True,False
7,preferences,True,True,True,"['What type of bowl should be used for melting the chocolate tablet?', 'Is the cream cheese to be added to the bowl before or after melting the chocolate?', 'Is the microwave safe for melting the chocolate tablet in the ceramic bowl?']",3,True,0.7371723651885986,0.7371723651885986,False,False,True,True,False
8,common_sense_knowledge,True,True,True,"['What type of vegetable dish is being prepared?', 'What type of sauce is being used for dipping?', 'Is the dish being prepared for a specific person or group of people?']",3,True,0.262195348739624,0.262195348739624,False,False,True,True,False
9,common_sense_knowledge,True,True,True,"['What type of knife should I use?', 'Is the tomato ripe?', 'Is the tomato red?']",3,True,0.6744412183761597,0.6744412183761597,False,False,True,True,False
10,common_sense_knowledge,True,True,True,"['Where should I put the kitchen towel?', 'Is the kitchen towel in the top drawer?', 'Is the kitchen towel in the bottom drawer?']",3,True,0.7778616547584534,0.7778616547584534,True,True,True,True,False
11,preferences,True,True,True,"['Where is the cup in the cupboard?', 'Is the cup in the top drawer?', 'Is the cup in the bottom drawer?']",3,True,0.7612887024879456,0.7612887024879456,True,True,True,True,False
12,common_sense_knowledge,True,True,True,"['What type of snack is being requested?', 'Is the task referring to a specific item or a general snack?', 'Is the task asking for a specific preparation method?']",3,True,0.32525020837783813,0.32525020837783813,False,False,False,True,True
13,preferences,True,True,True,"['What type of knife should I use for slicing the fruit?', 'What is the best way to store the sliced fruit in the fridge?', 'Can I use the same knife for all three fruits?', 'What is the purpose of the energy bar in the kitchen?']",4,True,0.6370149254798889,0.8060647249221802,False,True,False,True,True
14,preferences,True,True,True,"['What type of vegetable are the ingredients?', 'What is the desired consistency of the chopped vegetables?', 'Are there any specific utensils needed for the task?']",3,True,0.4114275574684143,0.6213015913963318,False,False,True,True,False
15,preferences,True,True,True,"['What type of salt should be used?', 'Is the salt shaker empty?', 'Is the dish being prepared for consumption?']",3,True,0.7410826683044434,0.7410826683044434,False,False,True,True,False
16,common_sense_knowledge,True,True,True,"['Is the task clear about the type of couscous to use?', 'Is the cooking time for the couscous specified in the task?', 'Is the cooking method for the chicken balls and nuggets specified in the task?']",3,True,0.1987222284078598,0.7043780088424683,False,False,True,True,False
17,preferences,True,True,True,"['Is the plate dirty?', 'Is the plate ceramic?', 'Is the dish soap used for the task?']",3,True,0.594143271446228,0.594143271446228,False,False,True,True,False
18,safety,True,True,True,"['What drawer should I take out?', 'Is the pan in the oven?', 'Is the pan hot?', 'Is the pan in the oven now?']",4,True,0.1503307968378067,0.3387379050254822,False,False,True,True,False
19,common_sense_knowledge,True,True,True,"['What type of knife should I use?', 'Is the tomato ripe?', 'Is the cutting board clean?']",3,True,0.6744412183761597,0.6744412183761597,False,False,True,True,False
20,common_sense_knowledge,True,True,True,"['What type of dessert should be used?', 'What is the typical serving size of the dessert?', 'Is the dessert sweet or savory?']",3,True,0.49672865867614746,0.49672865867614746,False,False,True,True,False
21,common_sense_knowledge,True,True,True,"['What type of eggs are you referring to?', 'Are you referring to the chicken eggs or goose eggs?', 'Are you referring to the eggs in the blender or the eggs in the storage container?']",3,True,0.6362577676773071,0.6362577676773071,False,False,False,True,True
22,common_sense_knowledge,True,True,True,"['What type of snack is being asked to prepare?', 'What ingredients are available in the kitchen?', 'Is the task asking for a specific type of snack?', 'Is the task asking for a specific type of food?', 'Is the task asking for a specific type of drink?', 'Is the task asking for a specific type of food item?', 'Is the task asking for a specific type of food ingredient?']",7,True,0.14849846065044403,0.3764004111289978,False,False,False,True,True
23,common_sense_knowledge,True,True,True,"['What type of kitchen towel should be used for drying the lemon?', 'What is the correct way to slice the lemon?', 'What is the correct way to squeeze the lemon juice into the bowl?']",3,True,0.8103551864624023,0.8103551864624023,True,True,True,True,False
24,common_sense_knowledge,True,True,True,"['What type of citrus are the oranges?', 'What is the purpose of the citrus juicer?', 'Are the oranges ripe?']",3,True,0.4781959652900696,0.4781959652900696,False,False,True,True,False
25,common_sense_knowledge,True,True,True,"['What type of pasta should be used for the sauce?', 'What is the preferred cooking method for the sauce?', 'What is the best way to season the sauce?']",3,True,0.3447938561439514,0.4211687445640564,False,False,True,True,False
26,preferences,True,True,True,"['What type of container should be filled first?', 'Is the task clear about the type of food?', 'Are there any other containers that need to be filled first?']",3,True,0.5019516944885254,0.5019516944885254,False,False,True,True,False
27,safety,True,True,True,"['What type of container is the bacon in?', 'Is the bacon in the fridge or the bottom drawer?', 'Is the bacon in the fridge or the top drawer?']",3,True,0.3507728576660156,0.45714426040649414,False,False,True,True,False
28,preferences,True,True,True,"['What type of pie is the task asking to prepare?', 'Is the task asking for a specific type of whipped cream?', 'Is the task asking for a dessert or a beverage?']",3,True,0.6588224768638611,0.6588224768638611,False,False,False,True,True
29,preferences,True,True,True,"['Is the task clear enough to perform without additional information?', 'Is the quantity of milk specified in the task sufficient?', 'Is the desired level of doneness specified in the task clear?']",3,True,-0.008090676739811897,0.5328111052513123,False,False,True,True,False
