model_key,layer,feature_id,vocab_membership,enabled,feature_source,loader,sae_repo,sae_id,sae_file,hookpoint,module_path,mode
gemma2b,12,231,Q,true,ClarifyScore + positive OutputScore shortlist,saelens,gemma-2b-it-res-jb,blocks.12.hook_resid_post,,blocks.12.hook_resid_post,model.layers.12,decoder_vector
gemma2b,12,375,C+Q,true,ClarifyScore + positive OutputScore shortlist,saelens,gemma-2b-it-res-jb,blocks.12.hook_resid_post,,blocks.12.hook_resid_post,model.layers.12,decoder_vector
gemma2b,12,432,C,true,ClarifyScore + positive OutputScore shortlist,saelens,gemma-2b-it-res-jb,blocks.12.hook_resid_post,,blocks.12.hook_resid_post,model.layers.12,decoder_vector
gemma2b,12,439,C,true,ClarifyScore + positive OutputScore shortlist,saelens,gemma-2b-it-res-jb,blocks.12.hook_resid_post,,blocks.12.hook_resid_post,model.layers.12,decoder_vector
gemma2b,12,538,Q,true,ClarifyScore + positive OutputScore shortlist,saelens,gemma-2b-it-res-jb,blocks.12.hook_resid_post,,blocks.12.hook_resid_post,model.layers.12,decoder_vector
gemma2b,12,557,C+Q,true,ClarifyScore + positive OutputScore shortlist,saelens,gemma-2b-it-res-jb,blocks.12.hook_resid_post,,blocks.12.hook_resid_post,model.layers.12,decoder_vector
gemma2b,12,688,Q,true,ClarifyScore + positive OutputScore shortlist,saelens,gemma-2b-it-res-jb,blocks.12.hook_resid_post,,blocks.12.hook_resid_post,model.layers.12,decoder_vector
gemma2b,12,700,Q,true,ClarifyScore + positive OutputScore shortlist,saelens,gemma-2b-it-res-jb,blocks.12.hook_resid_post,,blocks.12.hook_resid_post,model.layers.12,decoder_vector
gemma2b,12,791,Q,true,ClarifyScore + positive OutputScore shortlist,saelens,gemma-2b-it-res-jb,blocks.12.hook_resid_post,,blocks.12.hook_resid_post,model.layers.12,decoder_vector
gemma9b,20,113,Q,true,ClarifyScore + positive OutputScore shortlist,saelens,gemma-scope-9b-it-res,layer_20/width_16k/average_l0_91,,blocks.20.hook_resid_post,model.layers.20,decoder_vector
