feature_idx,output_score,prob,rank,steering_scale,top_token_ids,top_tokens,prompt
75746,0.9786671387661852,0.9786747694015503,1,30.0,"[374, 38660, 21043, 527, 39015, 15682, 112213, 55951, 106947, 126957]","[' is', ' adalah', '是', ' are', ' là', 'は', '是在', ' 是', '的是', '是不']","In my experience,"
76227,0.8472145899936014,0.8472211956977844,1,38.4375,"[499, 584, 81096, 358, 577, 1289, 42983, 94707, 15334, 1431]","[' you', ' we', 'iglia', ' I', ' u', 'opy', ' perch', 'otch', ' YOU', '’t']","In my experience,"
106930,0.3339894300922956,0.33399203419685364,1,48.75,"[2500, 43063, 103294, 1578, 47984, 5217, 2373, 102695, 11028, 36599]","[' another', 'another', ' 또', ' again', 'ipeg', ' additional', ' version', ' thêm', ' versions', 'additional']","In my experience,"
53386,0.2503148324145357,0.2503187358379364,2,37.3125,"[1587, 656, 1550, 12838, 28156, 23770, 22186, 7131, 14910, 527]","[' does', ' do', ' did', ' Does', 'does', 'did', 'Does', 'Did', ' Did', ' are']","In my experience,"
94236,0.19675067143257757,0.19675220549106598,1,27.75,"[3169, 13124, 15674, 3460, 119938, 4595, 9481, 955, 3392, 63797]","[' kind', ' kinds', 'kind', ' sort', '样的', ' types', ' KIND', ' type', ' amount', '(kind']","In my experience,"
80249,0.1751378881679978,0.1751406192779541,2,24.375,"[4423, 18570, 5606, 94192, 33634, 21739, 116252, 35272, 104, 41795]","[' someone', ' somebody', ' anyone', ' Somebody', ' Anyone', ' anybody', ' Kaynak', ' Someone', '�', 'Anyone']","In my experience,"
56394,0.17252693251783804,0.17252962291240692,2,23.4375,"[1070, 5606, 904, 21739, 51426, 3596, 42983, 2684, 5884, 33634]","[' there', ' anyone', ' any', ' anybody', '/how', ' ever', ' perch', ' There', ' Any', ' Anyone']","In my experience,"
99368,0.17217358814072825,0.17217493057250977,1,56.25,"[3025, 112916, 22225, 51629, 17354, 107024, 7284, 87814, 111176, 65288]","[' able', 'lant', ' surely', 'ibal', ' somehow', '伯', 'plus', ' Barg', 'phylum', ' Surely']","In my experience,"
1862,0.02708751270404604,0.02708877995610237,6,36.0,"[5606, 4423, 21739, 25136, 33634, 51426, 89419, 84729, 41795, 18570]","[' anyone', ' someone', ' anybody', '679', ' Anyone', '/how', ' alguien', 'locs', 'Anyone', ' somebody']","In my experience,"
111894,0.008876870091510005,0.008876939304172993,1,834.0,"[7051, 19929, 90578, 13851, 1981, 58204, 38241, 27083, 93638, 5636]","['irit', '369', '…\n', '::_', '…', '::.', ' aka', ' alike', ' Curso', ' plus']","In my experience,"
